Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
Kimi ni Todoke: Tsutaeru Kimochi,Adventure,DS,Banpresto,Namco Bandai Games,N/A,0.05m,N/A,N/A,0.05m,N/A,07th Apr 11
Sorcerer,Adventure,PC,Infocom,"Infocom, Inc.",0.05m,N/A,N/A,N/A,N/A,N/A,01st Jan 84
Grey's Anatomy: The Video Game,Adventure,DS,Ubisoft,Longtail Studios,N/A,0.04m,0.03m,0.01m,N/A,0.00m,04th Mar 09
Tomoyo After: It's a Wonderful Life CS Edition,Adventure,PSP,Prototype,Key,N/A,0.04m,N/A,N/A,0.04m,N/A,19th Feb 09
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,Adventure,3DS,Happinet,Happinet,N/A,0.04m,N/A,N/A,0.04m,N/A,20th Nov 14
Seastalker,Adventure,PC,Infocom,"Infocom, Inc.",0.04m,N/A,N/A,N/A,N/A,N/A,01st Jan 84
Shaun the Sheep,Adventure,DS,D3 Publisher,Art,N/A,0.04m,0.04m,0.00m,N/A,0.00m,23rd Sep 08
Zero Escape The Nonary Games,Adventure,PS4,Aksys Games,Spike Chunsoft,N/A,0.04m,0.03m,N/A,0.01m,0.01m,24th Mar 17
D.C.F.S.: Da Capo Four Seasons,Adventure,PS2,Kadokawa Shoten,Kadokawa Shoten,N/A,0.04m,N/A,N/A,0.04m,N/A,15th Dec 05
Hanayori Danshi: Koi Seyo Onago,Adventure,DS,Konami,Konami,N/A,0.04m,N/A,N/A,0.04m,N/A,10th Jul 08
Cat Quest,Adventure,NS,PQube,The Gentlebros,N/A,0.04m,0.04m,N/A,N/A,0.00m,09th Oct 18
Black Mirror 2,Adventure,PC,DTP Entertainment,Cranberry Production,N/A,0.04m,N/A,0.04m,N/A,0.01m,25th Sep 09
B's-LOG Party♪,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,20th May 10
King Arthur,Adventure,GC,Konami,Krome Studios,N/A,0.04m,0.03m,0.01m,N/A,0.00m,18th Nov 04
Chicken Shoot,Adventure,GBA,Zoo Digital Publishing,Zuxxez,N/A,0.04m,0.03m,0.01m,N/A,0.00m,23rd Sep 05
Uta no Prince-Sama: Repeat Love,Adventure,PSV,Broccoli,Broccoli,N/A,0.04m,N/A,N/A,0.04m,N/A,28th Jan 17
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,Adventure,PSV,5pb,5pb. Inc.,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Oct 16
Corpse Party: Book of Shadows,Adventure,PSP,5pb,Team GrisGris,N/A,0.04m,N/A,N/A,0.04m,N/A,01st Sep 11
428: Fuusa Sareta Shibuya de,Adventure,PSP,Spike,ChunSoft,N/A,0.04m,N/A,N/A,0.04m,N/A,17th Sep 09
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,Adventure,PS2,Konami,WinkySoft,N/A,0.04m,N/A,N/A,0.04m,N/A,21st Dec 06
To Heart 2 Portable,Adventure,PSP,Aquaplus,Aquaplus,N/A,0.04m,N/A,N/A,0.04m,N/A,30th Jul 09
Runaway: A Twist of Fate,Adventure,PC,Focus Home Interactive,Pendulo Studios,N/A,0.04m,N/A,0.04m,N/A,0.01m,18th Nov 09
Twilight Syndrome: Kinjiratera Toshi Densetsu,Adventure,DS,Spike,Spike,N/A,0.04m,N/A,N/A,0.04m,N/A,24th Jul 08
The Smurfs,Adventure,PS,Atari,Doki Denki,N/A,0.04m,0.02m,0.02m,N/A,0.00m,14th Dec 99
Blood Will Tell: Tezuka Osamu's Dororo,Adventure,PS2,Sega,Wow Entertainment,N/A,0.04m,0.02m,0.02m,N/A,0.01m,21st Sep 04
Coraline,Adventure,DS,D3 Publisher,Art,N/A,0.04m,0.04m,0.00m,N/A,0.00m,27th Jan 09
The Wolf Among Us,Adventure,PSV,Telltale Games,Telltale Games,N/A,0.04m,0.03m,N/A,N/A,0.01m,04th Nov 14
Heavy Rain: Move Edition,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,N/A,0.04m,N/A,0.03m,N/A,0.01m,08th Oct 10
Kanuchi: Shiroki Tsubasa no Shou,Adventure,PS2,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,02nd Oct 08
Saki Portable,Adventure,PSP,Alchemist,Alchemist,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Mar 10
Renai Revenge,Adventure,PSV,TGL,TGL,N/A,0.04m,N/A,N/A,0.04m,N/A,29th Oct 15
Sea Monsters: A Prehistoric Adventure,Adventure,Wii,DSI Games,Atomic Planet Entertainment,N/A,0.04m,0.04m,0.00m,N/A,0.00m,27th Dec 07
Secret Files: Tunguska,Adventure,PC,The Adventure Company,Fusionsphere Systems / Animation Arts,N/A,0.04m,N/A,0.04m,N/A,0.00m,30th Oct 06
Diabolik Lovers: Lunatic Parade,Adventure,PSV,Idea Factory,Unknown,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Feb 16
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",Adventure,DS,Marvelous Interactive,Marvelous Interactive,N/A,0.04m,N/A,N/A,0.04m,N/A,26th Oct 06
Adventure Time: Pirates of the Enchiridion,Adventure,XOne,Outright Games,Outright Games,N/A,0.04m,0.04m,N/A,N/A,0.00m,17th Jul 18
Amnesia,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,18th Aug 11
NCIS,Adventure,PC,Ubisoft,Ubisoft,N/A,0.04m,0.01m,0.02m,N/A,0.01m,01st Nov 11
LEGO Indiana Jones: The Original Adventures,Adventure,PC,LucasArts,Traveller's Tales,N/A,0.04m,0.02m,0.02m,N/A,0.00m,03rd Jun 08
Little Busters! Converted Edition,Adventure,PSP,Prototype,Prototype,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Nov 10
Gormiti: The Lords of Nature!,Adventure,Wii,Konami,Climax Group,N/A,0.04m,0.03m,0.00m,N/A,0.00m,21st Sep 10
B.L.U.E.: Legend of Water,Adventure,PS,Unknown,Unknown,N/A,0.04m,N/A,N/A,0.04m,0.00m,N/A
Shukufuku no Campanella Portable,Adventure,PSP,Kadokawa Shoten,Kadokawa Shoten,N/A,0.04m,N/A,N/A,0.04m,N/A,30th Sep 10
Chaos;Head - Love Chu*Chu!,Adventure,PSP,5pb,Nitroplus,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Jan 11
Game of Thrones: A Telltale Games Series,Adventure,XOne,Telltale Games,Telltale Games,N/A,0.04m,0.04m,N/A,N/A,0.00m,03rd Dec 14
12Riven: The Psi-Climinal of Integral,Adventure,PS2,CyberFront,KID Corporation,N/A,0.04m,N/A,N/A,0.04m,N/A,13th Mar 08
Alia's Carnival! Sacrament,Adventure,PSV,Dramatic Create,Dramatic Create,N/A,0.04m,N/A,N/A,0.04m,N/A,29th Oct 15
Game of Thrones: A Telltale Games Series,Adventure,X360,Telltale Games,Telltale Games,N/A,0.04m,0.03m,0.00m,N/A,0.00m,03rd Dec 14
Gakuen Hetalia Portable,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,24th Mar 11
Gray Matter,Adventure,X360,DTP Entertainment,Wizarbox Studios,N/A,0.04m,N/A,0.04m,N/A,0.00m,25th Feb 11
Scribblenauts Mega Pack,Adventure,XOne,Warner Bros. Interactive Entertainment,Shiver Games,N/A,0.04m,0.04m,N/A,N/A,0.00m,18th Sep 18
Haunted Casino,Adventure,SAT,Societa,Societa,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Sep 96
Arctic Tale,Adventure,Wii,DSI Games,Atomic Planet Entertainment,N/A,0.04m,0.04m,0.00m,N/A,0.00m,10th Oct 07
S.Y.K Renshouden Portable,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,21st Apr 11
Cube Creator DX,Adventure,3DS,Arc System Works,Big John Games,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Apr 17
Bureaucracy,Adventure,PC,Infocom,"Infocom, Inc.",0.04m,N/A,N/A,N/A,N/A,N/A,01st Jan 87
Her Story,Adventure,iOS,Unknown,Sam Barlow,0.04m,N/A,N/A,N/A,N/A,N/A,N/A
Mia's Reading Adventure: The Search for Grandma's Remedy,Adventure,PC,Kutoka Interactive,Kutoka Interactive,0.04m,N/A,N/A,N/A,N/A,N/A,01st Nov 98
Here They Lie,Adventure,PS4,Sony Interactive Entertainment,Tangentlemen,N/A,0.04m,N/A,0.03m,N/A,0.01m,13th Oct 16
Imabikisou,Adventure,PS3,Sega,ChunSoft,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Oct 07
Hakuouki: Reimeiroku Portable,Adventure,PSP,Idea Factory,Otomate,N/A,0.04m,N/A,N/A,0.04m,N/A,28th Jul 11
Reco Love: Blue Ocean,Adventure,PSV,Kadokawa Games,Dingo Inc.,N/A,0.04m,N/A,N/A,0.04m,N/A,01st Oct 16
Super Robot Gakuen,Adventure,DS,Namco Bandai,Banpresto,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Aug 09
Don't Starve: Giant Edition,Adventure,XOne,505 Games,Klei Entertainment,N/A,0.04m,0.04m,N/A,N/A,0.00m,17th Apr 18
Clannad,Adventure,PS2,Interchannel,Visual Arts,N/A,0.04m,N/A,N/A,0.04m,N/A,23rd Feb 06
Scribblenauts Mega Pack,Adventure,PS4,Warner Bros. Interactive Entertainment,Shiver Games,N/A,0.04m,0.03m,N/A,N/A,0.01m,18th Sep 18
Durarara!! 3way Standoff: Alley,Adventure,PSP,Kadokawa Shoten,Kadokawa Games,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Aug 11
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,17th Mar 11
Zac to Ombra: Maboroshi no Yuuenchi,Adventure,DS,Konami,Konami,N/A,0.04m,N/A,N/A,0.04m,N/A,28th Oct 10
Shadow of the Colossus,Adventure,PS3,Sony Computer Entertainment,Bluepoint Games,N/A,0.04m,N/A,N/A,0.04m,N/A,22nd Sep 11
99 no Namida,Adventure,DS,Bandai,Bandai Namco Games,N/A,0.04m,N/A,N/A,0.04m,N/A,05th Jun 08
Clannad,Adventure,PSP,Prototype,Visual Arts,N/A,0.04m,N/A,N/A,0.04m,N/A,29th May 08
Ookami to Koushinryou: Boku to Horo no Ichinen,Adventure,DS,ASCII Media Works,ASCII Media Works,N/A,0.04m,N/A,N/A,0.04m,N/A,26th Jun 08
Time Travelers,Adventure,3DS,Level 5,Level 5,N/A,0.04m,N/A,N/A,0.04m,N/A,12th Jul 12
Herc's Adventures,Adventure,PS,LucasArts,Big Ape Productions,N/A,0.04m,0.02m,0.01m,N/A,0.00m,31st Jul 97
Dreamfall: The Longest Journey,Adventure,XB,Aspyr,Funcom,N/A,0.04m,0.03m,0.01m,N/A,0.00m,18th Apr 06
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,Adventure,PSP,Nippon Ichi Software,Flight-Plan,N/A,0.04m,N/A,N/A,0.04m,N/A,16th Sep 10
b.l.u.e.: Legend of Water,Adventure,PS,Hudson Soft,CAProduction,N/A,0.04m,N/A,N/A,0.04m,N/A,09th Jul 98
Sherlock Holmes: Secret of The Silver Earring,Adventure,Wii,DreamCatcher Interactive,DreamCatcher Interactive,N/A,0.04m,N/A,0.03m,N/A,0.00m,23rd Nov 10
CSI: Fatal Conspiracy,Adventure,PC,Ubisoft,Telltale Games,N/A,0.04m,0.00m,0.03m,N/A,0.01m,26th Oct 10
Game of Thrones: A Telltale Games Series,Adventure,PS3,Telltale Games,Telltale Games,N/A,0.04m,0.02m,0.02m,N/A,0.01m,17th Nov 15
Pajama Sam: You are What You Eat From Your Head to Your Feet,Adventure,PS,Infogrames,Runecraft,N/A,0.04m,0.02m,0.01m,N/A,0.00m,14th Dec 01
Memories Off 6: T-Wave,Adventure,PS2,5pb,5pb. Games,N/A,0.04m,N/A,N/A,0.04m,N/A,21st Aug 08
Story Hour: Fairy Tales,Adventure,Wii,Zoo Digital Publishing,Other Ocean Interactive,N/A,0.04m,0.04m,N/A,N/A,0.00m,28th Dec 08
Countdown Vampires,Adventure,PS,Bandai,K2 LLC,N/A,0.04m,0.02m,0.01m,N/A,0.00m,21st Aug 00
Trinity,Adventure,PC,Infocom,"Infocom, Inc.",0.04m,N/A,N/A,N/A,N/A,N/A,01st Jan 86
Hyakka Hyakurou: Sengoku Ninpoujou,Adventure,PSV,D3Publisher,RED Entertainment,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Feb 16
Echo Night Beyond,Adventure,PS2,Agetec,From Software,N/A,0.04m,0.02m,0.01m,N/A,0.00m,27th Jul 04
Suzumiya Haruhi no Tsuisou,Adventure,PSP,Namco Bandai,Bandai Namco Games,N/A,0.04m,N/A,N/A,0.04m,N/A,12th May 11
Tenshou Gakuen Gekkouroku,Adventure,PS2,Asmik Ace Entertainment,Asmik Ace Entertainment,N/A,0.04m,N/A,N/A,0.04m,N/A,22nd Nov 06
ABZU,Adventure,PS4,505 Games,Giant Squid Studios,N/A,0.04m,0.03m,N/A,N/A,0.01m,31st Jan 17
Aquanaut's Holiday: Kakusareta Kiroku,Adventure,PS3,Sony Computer Entertainment,ArtDink,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Sep 08
Edge of Nowhere,Adventure,PC,Oculus Studios,Insomniac Games,0.04m,N/A,N/A,N/A,N/A,N/A,06th Jun 16
Harry Potter and the Order of the Phoenix,Adventure,PC,Electronic Arts,EA Games,N/A,0.04m,N/A,0.03m,N/A,0.00m,25th Jun 07
Harry Potter and the Prisoner of Azkaban,Adventure,PC,Electronic Arts,KnowWonder,N/A,0.04m,N/A,0.03m,N/A,0.00m,25th May 04
Pia Carrot e Youkoso!! 2.5,Adventure,DC,NEC Interchannel,Cocktail Soft,N/A,0.04m,N/A,N/A,0.04m,0.00m,21st Jun 08
Da Capo I & II Plus Situation Portable,Adventure,PSP,Kadokawa Shoten,Kadokawa Shoten,N/A,0.04m,N/A,N/A,0.04m,N/A,28th Oct 10
Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,Adventure,DS,D3 Publisher,Tomcat System,N/A,0.04m,N/A,N/A,0.04m,N/A,31st May 07
Chaos;Head Noah,Adventure,X360,5pb,Genterprise,N/A,0.04m,N/A,N/A,0.04m,N/A,26th Feb 09
Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,Adventure,PSP,KOEI,Koei,N/A,0.04m,N/A,N/A,0.04m,N/A,22nd Oct 09
Teenage Zombies: Invasion of the Alien Brain Thingys,Adventure,DS,Ignition Entertainment,InLight Entertainment,N/A,0.04m,0.03m,0.00m,N/A,0.00m,15th Apr 08
Scarface: The World is Yours,Adventure,PC,Sierra Entertainment,Radical Entertainment,N/A,0.04m,0.01m,0.02m,N/A,0.00m,08th Oct 06
Clock Zero: Shuuen no Ichibyou Portable,Adventure,PSP,Idea Factory,Unknown,N/A,0.04m,N/A,N/A,0.04m,N/A,13th Oct 11
Trick x Logic: Season 2,Adventure,PSP,Sony Computer Entertainment,ChunSoft,N/A,0.04m,N/A,N/A,0.04m,N/A,16th Sep 10
Hakuouki: Zuisouroku,Adventure,PS2,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,27th Aug 09
Punch Line,Adventure,PS4,PQube,5pb. Inc.,N/A,0.04m,0.03m,N/A,N/A,0.01m,09th Oct 18
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,Adventure,PS2,Konami,Konami,N/A,0.04m,N/A,N/A,0.04m,N/A,16th Nov 06
Spellbreaker,Adventure,PC,Infocom,"Infocom, Inc.",0.04m,N/A,N/A,N/A,N/A,N/A,01st Jan 85
Obscure,Adventure,XB,DreamCatcher Interactive,Hydravision Entertainment,N/A,0.04m,0.03m,0.01m,N/A,0.00m,06th Apr 05
Kisuato,Adventure,PSV,TGL,TGL,N/A,0.04m,N/A,N/A,0.04m,N/A,26th Nov 15
Attack on Titan: Escape from Certain Death,Adventure,3DS,Tecmo Koei,Koei Tecmo Games,N/A,0.04m,N/A,N/A,0.04m,N/A,11th May 17
Hakuoki: Shinkai - Hana no Shou,Adventure,PSV,Idea Factory,Design Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,16th Jun 16
Detective Conan: Phantom Rhapsody,Adventure,3DS,Namco Bandai Games,Bandai Namco Games,N/A,0.04m,N/A,N/A,0.04m,N/A,17th Apr 14
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,Adventure,PSP,Yeti,Yeti,N/A,0.04m,N/A,N/A,0.04m,N/A,25th Nov 10
Secret Files 2: Puritas Cordis,Adventure,PC,Deep Silver,Fusionsphere Systems / Animation Arts,N/A,0.04m,N/A,0.03m,N/A,0.00m,08th May 09
Harukanaru Toki no Naka de: Maihitoyo,Adventure,PS2,KOEI,Koei,N/A,0.04m,N/A,N/A,0.04m,N/A,21st Sep 06
Hakuouki: Zuisouroku DS,Adventure,DS,Idea Factory,Idea Factory,N/A,0.04m,N/A,N/A,0.04m,N/A,17th Feb 11
Detective Conan: Prelude from the Past,Adventure,PSP,Namco Bandai Games,Spike Chunsoft,N/A,0.04m,N/A,N/A,0.04m,N/A,19th Apr 12
Voodoo Chronicles: First Sign,Adventure,PC,ValuSoft,ValuSoft,N/A,0.04m,0.03m,N/A,N/A,0.00m,06th Sep 11
The Rabbit's Apprentice,Adventure,PC,Daedalic Entertainment,Daedalic Entertainment,N/A,0.03m,N/A,0.03m,N/A,0.00m,28th May 13
Tokyo Majin Gakuen: Kenfuuchou,Adventure,DS,Marvelous Interactive,"Asmik Ace Entertainment, Inc",N/A,0.03m,N/A,N/A,0.03m,N/A,21st Aug 08
OZMAFIA!! -vivace-,Adventure,PSV,Dramatic Create,Dramatic Create,N/A,0.03m,N/A,N/A,0.03m,N/A,26th Feb 15
The Raven Remastered,Adventure,PS4,THQ Nordic,KING Art Games,N/A,0.03m,0.03m,N/A,N/A,0.01m,13th Mar 18
Suzumiya Haruhi no Tsuisou,Adventure,PS3,Namco Bandai,Bandai Namco Games,N/A,0.03m,N/A,N/A,0.03m,N/A,12th May 11
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,Adventure,DS,D3 Publisher,Tomcat System,N/A,0.03m,N/A,N/A,0.03m,N/A,25th May 06
A Mind Forever Voyaging,Adventure,PC,Infocom,"Infocom, Inc.",0.03m,N/A,N/A,N/A,N/A,N/A,01st Jan 85
Harukanaru Toki no Naka de Yumenoukihashi Special,Adventure,PS2,KOEI,Koei,N/A,0.03m,N/A,N/A,0.03m,N/A,29th Jan 09
Tsuyo Kiss: Mighty Heart,Adventure,PS2,Princess Soft,Princess Soft,N/A,0.03m,N/A,N/A,0.03m,N/A,25th May 06
Steins;Gate 0,Adventure,PS3,5pb,5pb. Inc.,N/A,0.03m,N/A,N/A,0.03m,N/A,10th Dec 15
Parfait,Adventure,PSV,TGL,TGL,N/A,0.03m,N/A,N/A,0.03m,N/A,26th Feb 15
Mashiro Iro Symphony: *mutsu-no-hana,Adventure,PSP,Comfort,Comfort,N/A,0.03m,N/A,N/A,0.03m,N/A,30th Jun 11
Metal Gear Solid: The Essential Collection (JP sales),Adventure,PS2,Konami,Konami Computer Entertainment Japan,N/A,0.03m,N/A,N/A,0.03m,N/A,18th Mar 08
Harukanaru Toki no Naka de 6,Adventure,PSV,Tecmo Koei,Ruby Party,N/A,0.03m,N/A,N/A,0.03m,N/A,12th Mar 15
Tail Concerto,Adventure,PS,Atlus,CyberConnect2,N/A,0.03m,0.02m,0.01m,N/A,0.00m,31st Aug 99
Emma at the Farm,Adventure,DS,Aspyr,Nobilis,N/A,0.03m,0.03m,0.00m,N/A,0.00m,03rd Dec 08
Night Head: The Labyrinth,Adventure,PS,Fuji,Scitron & Art,N/A,0.03m,N/A,N/A,0.03m,0.00m,17th Nov 95
EverBlue 2,Adventure,PS2,Capcom,Arika,N/A,0.03m,0.02m,0.01m,N/A,0.00m,24th Feb 03
Safari Adventures: Africa,Adventure,Wii,Conspiracy Entertainment,Neko Entertainment,N/A,0.03m,0.03m,N/A,N/A,0.00m,27th Oct 09
Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,Adventure,DS,Alchemist,Alchemist,N/A,0.03m,N/A,N/A,0.03m,N/A,28th May 09
King's Quest: The Complete Collection,Adventure,X360,Activision,The Odd Gentlemen,N/A,0.03m,0.03m,N/A,N/A,0.00m,18th Oct 16
Nancy Drew: Alibi In Ashes,Adventure,PC,Her Interactive,Her Interactive,N/A,0.03m,0.03m,N/A,N/A,0.00m,18th Oct 11
Clannad,Adventure,PS3,Prototype,Visual Arts,N/A,0.03m,N/A,N/A,0.03m,N/A,21st Apr 11
The Void,Adventure,PC,Mamba Games,Ice-pick Lodge,N/A,0.03m,N/A,0.03m,N/A,0.01m,25th Sep 09
Moonmist,Adventure,PC,Unknown,"Infocom, Inc.",0.03m,N/A,N/A,N/A,N/A,N/A,N/A
Accel World: Ginyoku no Kakusei,Adventure,PS3,Namco Bandai Games,Bandai Namco Games,N/A,0.03m,N/A,N/A,0.03m,N/A,13th Sep 12
Vitamin X Evolution,Adventure,DS,D3 Publisher,HuneX,N/A,0.03m,N/A,N/A,0.03m,N/A,27th Mar 08
Arthur and the Invisibles,Adventure,DS,Atari,Etranges Libellules / Neko Entertainment,N/A,0.03m,0.03m,0.00m,N/A,0.00m,09th Jan 07
Black Mirror,Adventure,XOne,THQ Nordic,KING Art Games,N/A,0.03m,0.03m,N/A,N/A,0.00m,28th Nov 17
Togainu no Chi: True Blood,Adventure,PS2,Kadokawa Shoten,Nitroplus,N/A,0.03m,N/A,N/A,0.03m,N/A,29th May 08
Chicken Shoot 2,Adventure,GBA,"Destination Software, Inc",Zuxxez,N/A,0.03m,0.02m,0.01m,N/A,0.00m,10th Nov 05
Shin Hayarigami 2,Adventure,PSV,Nippon Ichi Software,Nippon Ichi Software,N/A,0.03m,N/A,N/A,0.03m,N/A,07th Jul 16
Accel World: Ginyoku no Kakusei,Adventure,PSP,Namco Bandai Games,Bandai Namco Games,N/A,0.03m,N/A,N/A,0.03m,N/A,13th Sep 12
Rampo,Adventure,SAT,Sega,Sega,N/A,0.03m,N/A,N/A,0.03m,N/A,24th Feb 95
Hiiro no Kakera 2: Hisui no Shizuku,Adventure,PS2,Idea Factory,Design Factory,N/A,0.03m,N/A,N/A,0.03m,N/A,09th Aug 07
Chaos;Head - Love Chu*Chu!,Adventure,X360,5pb,Nitroplus,N/A,0.03m,N/A,N/A,0.03m,N/A,25th Mar 10
House M.D.,Adventure,DS,Legacy Interactive,Legacy Interactive,N/A,0.03m,0.02m,0.01m,N/A,0.00m,14th Sep 10
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,Adventure,DS,Marvelous Interactive,Marvelous Interactive,N/A,0.03m,N/A,N/A,0.03m,N/A,28th Aug 08
Midnight Mysteries: The Edgar Allan Poe Conspiracy,Adventure,PC,Mumbo Jumbo,MumboJumbo,N/A,0.03m,N/A,0.03m,N/A,0.00m,17th Jul 09
Last Escort: Club Katze,Adventure,PSP,D3 Publisher,Vingt-et-un Systems,N/A,0.03m,N/A,N/A,0.03m,N/A,18th Feb 10
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,Adventure,PSP,Yeti,Yeti,N/A,0.03m,N/A,N/A,0.03m,N/A,28th Oct 10
Otometeki Koi Kakumei * Love Revo,Adventure,PS2,Interchannel,HuneX,N/A,0.03m,N/A,N/A,0.03m,N/A,26th Jan 06
Hallowed Legends: Samhain,Adventure,PC,Focus Home Interactive,PlayFirst,N/A,0.03m,N/A,0.03m,N/A,0.01m,04th Nov 11
Kiniro no Corda 3,Adventure,PS2,KOEI,Koei,N/A,0.03m,N/A,N/A,0.03m,N/A,25th Feb 10
Nil Admirari no Tenbin: Teito Genwaku Toukidan,Adventure,PSV,Idea Factory,Unknown,N/A,0.03m,N/A,N/A,0.03m,N/A,21st Apr 16
Highschool Terra Story,Adventure,SAT,KID,KID,N/A,0.03m,N/A,N/A,0.03m,0.00m,23rd Jul 98
Mother Goose no Himitsu no Yakata,Adventure,PSP,Quinrose,QuinRose,N/A,0.03m,N/A,N/A,0.03m,N/A,23rd Jun 11
Tantei Jinguuji Saburo DS: Kienai Kokoro,Adventure,DS,Arc System Works,WorkJam,N/A,0.03m,N/A,N/A,0.03m,N/A,24th Apr 08
StormLover,Adventure,PSP,D3 Publisher,Vridge,N/A,0.03m,N/A,N/A,0.03m,N/A,04th Aug 10
Dancing Blade II: Tears of Eden,Adventure,PS,Konami,Konami Computer Entertainment Tokyo,N/A,0.03m,N/A,N/A,0.03m,0.00m,18th Mar 99
Gochuumon wa Usagi Desu ka?? Wonderful Party!,Adventure,PSV,5pb,Unknown,N/A,0.03m,N/A,N/A,0.03m,N/A,03rd Mar 16
Hiiro no Kakera 3: Aoikuro no Kusabi,Adventure,PS2,Idea Factory,Idea Factory,N/A,0.03m,N/A,N/A,0.03m,N/A,07th Aug 08
DokiDoki Majo Shinpan! 2,Adventure,DS,SNK Playmore,SNK Playmore Corporation,N/A,0.03m,N/A,N/A,0.03m,N/A,31st Jul 08
Don't Knock Twice,Adventure,PS4,Perpetual,Wales Interactive Ltd.,N/A,0.03m,0.02m,N/A,N/A,0.01m,27th Feb 18
Azada,Adventure,3DS,Licensed 4U,Big Fish Games,N/A,0.03m,N/A,0.03m,N/A,0.00m,01st May 14
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,Adventure,PSP,Marvelous Interactive,Marvelous Interactive,N/A,0.03m,N/A,N/A,0.03m,N/A,02nd Oct 08
Adventure Time: Pirates of the Enchiridion,Adventure,NS,Outright Games,Outright Games,N/A,0.03m,0.01m,0.02m,N/A,0.00m,17th Jul 18
Lux-Pain (JP sales),Adventure,DS,Ignition Entertainment,Killaware,N/A,0.03m,N/A,N/A,0.03m,N/A,24th Mar 09
A Vampyre Story,Adventure,All,The Adventure Company,Autumn Moon Entertainment,0.03m,N/A,N/A,N/A,N/A,N/A,02nd Dec 08
Tokimeki Memorial Girl's Side 1st Love Plus,Adventure,DS,Konami,Konami,N/A,0.03m,N/A,N/A,0.03m,N/A,12th Mar 09
Story Hour: Adventures,Adventure,Wii,Zoo Digital Publishing,Other Ocean Interactive,N/A,0.03m,0.03m,N/A,N/A,0.00m,09th Dec 08
Suzumiya Haruhi no Chokuretsu,Adventure,DS,Sega,Sega,N/A,0.03m,N/A,N/A,0.03m,N/A,28th May 09
S.Y.K Renshouden,Adventure,PS2,Idea Factory,Idea Factory,N/A,0.03m,N/A,N/A,0.03m,N/A,11th Mar 10
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.03m,N/A,N/A,0.03m,N/A,14th Jul 11
D.C.I.F.: Da Capo Innocent Finale,Adventure,PS2,Sweets,Sweets,N/A,0.03m,N/A,N/A,0.03m,N/A,30th Apr 09
Sukitomo. Tsukiuta. 12 Memories,Adventure,PSV,Namco Bandai Games,Namco Bandai Games,N/A,0.03m,N/A,N/A,0.03m,N/A,01st Jun 17
The Inner World,Adventure,PC,Headup Games,Headup Games,N/A,0.03m,N/A,0.03m,N/A,0.00m,18th Jul 13
The Pillars of the Earth,Adventure,PS4,Kalypso Media,Daedalic Entertainment,N/A,0.03m,0.02m,N/A,N/A,0.01m,28th Nov 17
